course_code,course_name,prerequisites,incompatible,restricted,faculty,school,units,semesters,duration,description
ABTS1000,"Indigenous Australian Issues: Past, Present, Future",,,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,Survey of major themes in Aboriginal & Torres Strait Islander Studies from Aboriginal & Torres Strait Island Islander perspectives.
ABTS1010,Torres Strait Islander Studies,,ABTS2000,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,"The course explores a wide range of topics, from the unique geography of Torres Strait to the influences of post-colonial history, the intricate relationship of people to the sea, and the social organisation and social structure of Torres Strait Islander society and culture, past and present. Interwoven throughout out the course are themes of colonisation, identity and cultural perspectives."
ABTS1020,"Ten Canoes: Exploring Indigenous Art, Film, Music and Literature Through Iconi",,,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,"This course provides students with the opportunity to learn about Indigenous Australian peoples and their art, film, literature and music making. Across the semester students will examine ten iconic works of Aboriginal or Torres Strait Islander cultural production to explore Indigenous history and understand how Indigenous Australians use diverse forms of cultural expression to tell their history, resist and challenge colonial stereotypes and create new and exciting works of art."
ABTS2010,Indigenous Women and Men: Gendered Business,,ID227,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,"Through lectures and tutorials presented by both Indigenous and non-Indigenous women, both students and lecturers explore historical and contemporary issues identified as relevant by Aboriginal women. A major theme running through this course is to compare, contrast and critically analyse mainstream representations of Aboriginal women with the words and knowledges of Aboriginal women themselves."
ABTS2020,"Contemporary Indigenous knowledge, thought and philosophy",,,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,Aboriginal and Torres Strait Islander approaches to knowledge in a tradition context; interaction between Aboriginal and Torres Strait Islander and Western modes of inquiry; emergence of contemporary Aboriginal and Torres Strait Islander scholarship.
ABTS2060,"Contemporary Indigenous Social Organisation: Identity, family, community, nati",ABTS1000,,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,"This course provides students with contemporary understandings of Indigenous Australian experiences and systems of family and kinship. Students will learn about the wide variety of kinship systems which were/are used in Indigenous communities prior to and after colonisation. They will gain a practical understanding of how to map and construct genealogies, and a firm grounding in the ways that family and kin relationships link people to each other, their country and to the Dreaming."
ABTS2080,Independent Project in Aboriginal & Torres Strait Islander Studies I,Approval of course coordinator for ethical clearance,ID232,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,Supervised research on an Aboriginal & Torres Strait Islander issue. Consult the coordinator about your proposal in first week of semester. Some meetings of all students are required during semester.
ABTS2090,Independent Project in Aboriginal & Torres Strait Islander Studies 2,Approval of Course Coordinator for Ethical Clearance,,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,Supervised research on an Aboriginal & Torres Strait Islander issue. Consult the coordinator about your proposal in first week of semester. Some meetings of all students are required during semester.
ABTS3010,Work Placement in Indigenous Australian Studies,"ABTS1000, ABTS2020, or #6 of ABTS-coded courses",,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,"This course is a supervised work placement with a government department in Indigenous affairs, an Indigenous organisation or another approved workplace focused on Indigenous issues. The duration of the placement is 40-60 hours and a suitable timetable for the placement will be negotiated between the academic supervisors, the work place organisation and supervisor and the student. This course enables students to focus on the integration of real-world experience with course material. Students are required to obtain approval from coordinator before enrolment."
ABTS3020,Working with Indigenous People,,ID234,,Humanities and Social Sciences,Humanities and Social Sciences,2,,One Semester,Critical examination of conceptual and practical issues arising in research on and with Indigenous people with a focus on the Australian context.
